max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
50,LiH,0.8076923076923077,1,default,50,0,50.0,-7.601553472490472,-7.625517053911121,0.023963581420649582,0.0,
50,LiH,0.8076923076923077,1,guided_fourier_robust,50,9,59.0,-7.6028723464769365,-7.625517053911121,0.022644707434184674,0.015636045564429404,True
50,LiH,0.8076923076923077,2,default,50,0,50.0,-7.575990447913616,-7.625517053911121,0.0495266059975048,0.0,
50,LiH,0.8076923076923077,2,guided_fourier_robust,50,9,59.0,-7.586732321829967,-7.625517053911121,0.038784732081154516,0.07637362773516457,True
50,LiH,0.9615384615384616,0,default,50,0,50.0,-7.700356553174561,-7.747746029805036,0.047389476630475436,0.0,
50,LiH,0.9615384615384616,0,guided_fourier_robust,50,9,59.0,-7.710527055441854,-7.747746029805036,0.03721897436318233,0.5861269207925959,True
50,LiH,0.9615384615384616,1,default,50,0,50.0,-7.722470065583892,-7.747746029805036,0.02527596422114442,0.0,
50,LiH,0.9615384615384616,1,guided_fourier_robust,50,9,59.0,-7.723859495402589,-7.747746029805036,0.023886534402446813,0.01876324920801851,True
50,LiH,0.9615384615384616,2,default,50,0,50.0,-7.700408663736225,-7.747746029805036,0.04733736606881145,0.0,
50,LiH,0.9615384615384616,2,guided_fourier_robust,50,9,59.0,-7.716719292637047,-7.747746029805036,0.03102673716798865,0.07425017557566284,True
100,BeH2,0.5,0,default,100,0,100.0,-13.597461303913732,-13.667143209581795,0.06968190566806243,0.0,
100,BeH2,0.5,0,guided_fourier_robust,100,9,109.0,-13.621287723369905,-13.667143209581795,0.04585548621188984,0.8305569727540747,True
100,BeH2,0.5,1,default,100,0,100.0,-13.60404259998363,-13.667143209581795,0.06310060959816433,0.0,
100,BeH2,0.5,1,guided_fourier_robust,100,9,109.0,-13.597411020254672,-13.667143209581795,0.069732189327123,0.9410420370529602,True
100,BeH2,0.5,2,default,100,0,100.0,-13.596457918529724,-13.667143209581795,0.07068529105207055,0.0,
100,BeH2,0.5,2,guided_fourier_robust,100,9,109.0,-13.614068663195962,-13.667143209581795,0.05307454638583309,0.9163538917882982,True
100,BeH2,0.6538461538461539,0,default,100,0,100.0,-14.592499218014183,-14.66180850553618,0.06930928752199783,0.0,
100,BeH2,0.6538461538461539,0,guided_fourier_robust,100,9,109.0,-14.614700386990787,-14.66180850553618,0.04710811854539365,0.7567223748823282,True
100,BeH2,0.6538461538461539,1,default,100,0,100.0,-14.601617961230662,-14.66180850553618,0.0601905443055184,0.0,
