molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
BeH2,statevector,,,,sto-3g,0.8,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.850480695146802,-15.15532997187706,CASCI,-15.15532997187706,0.3048492767302591,191.29566479172814,False,-4.387288995277762,200,True,,,8,61,-10.46319169986904,0.39771477700014657,2.497831232999488,2.898242749999554
BeH2,statevector,,,,sto-3g,0.8,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.936774945994632,-15.15532997187706,CASCI,-15.15532997187706,0.21855502588242892,137.1452457364571,False,-4.473583246125582,100,True,,,8,61,-10.46319169986905,0.36503012499997567,1.6024515999997675,1.970674967999912
BeH2,statevector,,,,sto-3g,0.8,jw,efficient_su2,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.146005059288461,-15.15532997187706,CASCI,-15.15532997187706,0.009324912588599688,5.851466573559602,False,-4.682813359419418,1225,True,,,8,61,-10.463191699869043,0.35959674899913807,19.027940442000727,19.390766270999848
BeH2,statevector,,,,sto-3g,0.8,jw,efficient_su2,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.86946947055352,-15.15532997187706,CASCI,-15.15532997187706,0.28586050132354046,179.38003732503356,False,-4.406277770684463,200,True,,,8,61,-10.463191699869057,0.34426417400027276,2.9497824460004267,3.2971757889999935
BeH2,statevector,,,,sto-3g,1.1,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.4701991758403,-15.528632692194162,CASCI,-15.528632692194162,0.05843351635386185,36.6675574136955,False,-4.195985569108867,100,True,,,8,61,-11.274213606731433,0.3451372829995307,1.274484288000167,1.6216899399996691
BeH2,statevector,,,,sto-3g,1.1,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.421052376845589,-15.528632692194162,CASCI,-15.528632692194162,0.1075803153485726,67.50761610406744,False,-4.146838770114153,787,True,,,8,61,-11.274213606731436,0.34685544699914317,7.788139340000271,8.137056906999533
BeH2,statevector,,,,sto-3g,1.1,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.129492171225454,-15.528632692194162,CASCI,-15.528632692194162,0.39914052096870734,250.46426917255258,False,-3.8552785644940153,200,True,,,8,61,-11.27421360673144,0.34363515799941524,2.0581558900003074,2.4040842969998266
BeH2,statevector,,,,sto-3g,1.1,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.412124706585963,-15.528632692194162,CASCI,-15.528632692194162,0.11650798560819808,73.10980954101477,False,-4.137911099854535,100,True,,,8,61,-11.27421360673143,0.35118382000018755,1.3754721499999505,1.7290297290001035
BeH2,statevector,,,,sto-3g,1.1,jw,real_amplitudes,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.522005281770895,-15.528632692194162,CASCI,-15.528632692194162,0.006627410423266866,4.158759687293768,False,-4.247791675039456,927,True,,,8,61,-11.27421360673144,0.35907186700023885,11.885157980999793,12.246481703000427
BeH2,statevector,,,,sto-3g,1.1,jw,real_amplitudes,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.045350371660167,-15.528632692194162,CASCI,-15.528632692194162,0.4832823205339949,303.2640056759666,False,-3.7711367649287335,200,True,,,8,61,-11.274213606731433,0.3658148029999211,2.5892212759999893,2.9573728300001676
